track_id,track_length,VSL_um_s,VCL_um_s,VAP_um_s,pm_motile_vcl,pm_motile_vsl_vap
1,10,3.991,21.567,6.18,True,False
2,104,0.0,0.0,0.0,False,False
3,95,0.06,2.377,0.815,False,False
5,82,0.098,3.692,1.145,False,False
6,95,0.0,0.836,0.324,False,False
7,97,0.117,1.884,0.727,False,False
8,55,0.104,8.583,4.76,False,False
9,41,0.853,10.703,4.513,False,False
10,23,1.275,7.828,1.91,False,False
12,41,0.0,4.029,1.167,False,False
13,15,1.7,3.448,0.629,False,False
15,97,0.058,1.578,0.5,False,False
17,44,0.47,9.398,5.829,False,False
23,92,0.0,0.74,0.168,False,False
24,85,0.334,4.011,1.353,False,False
25,58,0.311,9.883,2.364,False,False
27,97,0.0,0.0,0.0,False,False
28,94,0.0,0.483,0.101,False,False
29,94,0.085,2.793,0.875,False,False
30,95,0.133,5.491,1.708,False,False
31,94,0.135,5.415,3.958,False,False
32,94,0.0,0.0,0.0,False,False
34,15,2.004,18.723,4.495,False,False
35,96,0.059,3.629,0.978,False,False
36,90,0.063,2.6,0.701,False,False
37,97,0.0,0.584,0.22,False,False
43,11,23.435,29.087,24.83,True,True
45,21,71.444,97.187,94.095,True,True
50,10,132.77,141.761,121.117,True,True
53,19,112.231,123.523,109.261,True,True
56,110,31.355,94.035,89.996,True,True
59,30,111.581,118.134,123.85,True,True
62,17,80.216,83.417,89.128,True,True
63,55,68.471,101.06,98.095,True,True
65,12,72.091,78.155,78.704,True,True
66,17,38.583,70.124,71.191,True,True
67,36,60.904,67.875,56.76,True,True
68,10,105.137,106.002,106.887,True,True
69,17,97.617,98.791,96.988,True,True
72,13,91.871,98.51,97.982,True,True
73,21,74.078,100.931,89.838,True,True
74,10,23.34,34.364,22.546,True,True
76,38,83.627,100.472,93.279,True,True
80,18,83.621,92.337,93.246,True,True
81,47,81.302,89.718,83.831,True,True
82,25,55.249,56.283,56.648,True,True
85,10,65.295,70.034,59.596,True,True
89,39,79.361,99.029,93.336,True,True
90,12,86.485,89.969,79.662,True,True
91,13,84.99,92.126,85.294,True,True
92,14,84.222,98.956,89.317,True,True
93,37,73.585,111.297,102.811,True,True
94,42,77.561,90.949,89.751,True,True
96,77,87.209,91.293,87.835,True,True
97,59,65.166,94.226,87.214,True,True
98,11,80.636,89.824,78.263,True,True
100,30,82.492,114.828,106.086,True,True
101,10,100.915,106.519,108.548,True,True
102,18,87.182,93.956,91.13,True,True
103,29,97.554,106.909,102.441,True,True
104,14,76.347,83.211,84.476,True,True
105,26,103.898,111.68,107.801,True,True
106,21,72.736,77.91,73.277,True,True
107,36,74.0,104.652,96.458,True,True
108,19,87.987,104.695,96.282,True,True
109,16,93.524,100.095,99.514,True,True
111,29,64.565,85.975,81.942,True,True
113,17,118.787,138.596,141.827,True,True
117,23,106.07,122.499,114.924,True,True
118,64,73.952,84.712,81.559,True,True
119,29,102.303,113.165,104.916,True,True
120,17,85.023,90.952,87.811,True,True
125,44,66.178,108.838,107.522,True,True
127,18,11.999,30.338,24.665,True,True
129,43,73.838,94.127,87.295,True,True
130,23,98.17,99.775,97.801,True,True
131,34,61.884,86.424,80.723,True,True
133,30,61.273,98.914,90.699,True,True
135,12,81.926,88.344,74.945,True,True
137,23,67.1,75.41,70.657,True,True
138,56,88.207,99.228,96.147,True,True
140,20,59.965,66.595,65.695,True,True
142,24,58.385,94.656,81.233,True,True
145,20,91.344,102.07,90.806,True,True
146,35,65.923,99.286,91.401,True,True
149,72,76.655,94.661,91.606,True,True
152,34,69.454,91.284,87.049,True,True
153,17,25.835,31.525,28.076,True,True
154,56,66.475,87.473,78.58,True,True
155,12,78.165,102.633,84.643,True,True
156,38,91.079,105.998,96.519,True,True
157,26,96.197,110.162,110.355,True,True
158,16,80.17,83.044,83.861,True,True
160,53,81.669,109.121,104.479,True,True
161,28,79.814,87.968,87.626,True,True
162,31,67.672,80.205,76.939,True,True
163,13,105.887,108.185,104.127,True,True
164,13,100.898,105.798,97.732,True,True
165,15,96.266,101.203,89.488,True,True
166,38,118.615,131.978,122.965,True,True
168,14,87.143,103.525,86.961,True,True
170,32,72.175,76.378,69.079,True,True
171,43,49.131,96.043,92.3,True,True
172,12,48.41,57.844,58.617,True,True
175,28,89.106,103.705,84.451,True,True
179,18,77.156,83.883,87.646,True,True
180,11,92.101,99.357,97.803,True,True
181,18,33.765,45.629,47.501,True,True
182,25,81.755,91.47,81.722,True,True
185,14,57.99,87.186,62.159,True,True
189,19,66.961,70.797,70.859,True,True
191,19,64.443,73.111,64.151,True,True
192,23,94.098,102.717,104.739,True,True
193,49,42.511,93.58,86.622,True,True
194,20,107.849,109.978,117.505,True,True
196,13,66.4,122.175,105.007,True,True
197,15,104.84,106.428,100.771,True,True
198,37,89.809,96.198,90.523,True,True
200,28,111.977,114.619,107.931,True,True
201,45,80.545,85.63,83.259,True,True
202,33,74.491,99.416,92.916,True,True
203,18,50.252,69.505,59.263,True,True
206,22,81.654,96.611,89.581,True,True
207,15,85.697,102.806,92.318,True,True
211,69,86.038,101.965,102.099,True,True
212,12,100.588,108.611,97.041,True,True
215,12,100.116,103.52,106.547,True,True
230,21,100.312,102.461,103.061,True,True
236,16,82.008,92.779,73.558,True,True
237,10,99.29,105.007,104.601,True,True
240,43,84.716,97.651,94.334,True,True
241,17,27.279,32.496,29.348,True,True
242,56,88.072,104.352,94.726,True,True
244,59,49.145,87.391,84.849,True,True
245,31,13.408,37.747,32.089,True,True
254,49,18.639,53.977,49.332,True,True
255,76,47.733,103.652,96.959,True,True
256,31,82.758,97.699,89.538,True,True
