track_id,track_length,VSL_um_s,VCL_um_s,VAP_um_s,pm_motile_vcl,pm_motile_vsl_vap
1,97,0.083,0.935,0.22,False,False
2,94,0.085,2.457,0.558,False,False
3,28,1.212,7.498,3.223,False,False
4,40,0.643,8.276,5.282,False,False
5,13,4.181,21.79,5.718,True,True
6,106,0.0,0.0,0.0,False,False
7,97,0.131,1.908,1.192,False,False
8,97,0.0,0.0,0.0,False,False
9,93,0.122,0.574,0.264,False,False
10,105,0.0,0.0,0.0,False,False
11,97,0.0,3.635,1.154,False,False
12,96,0.0,0.0,0.0,False,False
13,96,0.059,0.768,0.247,False,False
14,97,0.0,1.753,0.488,False,False
15,97,0.0,0.0,0.0,False,False
16,37,0.998,5.514,4.018,False,False
17,97,0.0,0.0,0.0,False,False
18,78,79.691,95.735,92.803,True,True
22,39,101.935,109.861,106.935,True,True
23,75,94.048,97.489,96.644,True,True
24,12,75.631,76.908,77.536,True,True
26,26,0.71,29.185,26.084,True,False
27,26,96.218,101.593,97.066,True,True
28,16,101.412,105.007,100.179,True,True
29,14,68.884,76.627,68.276,True,True
32,63,79.685,98.573,96.68,True,True
33,18,82.093,102.228,81.861,True,True
36,48,88.348,95.099,95.509,True,True
37,10,85.778,103.575,89.911,True,True
38,61,75.608,90.588,88.704,True,True
39,18,93.423,95.966,99.584,True,True
41,27,85.858,89.728,87.42,True,True
43,10,106.968,108.239,100.592,True,True
44,49,52.013,69.978,66.356,True,True
45,15,119.607,128.129,124.166,True,True
46,60,81.945,98.906,95.307,True,True
49,26,78.539,80.029,80.401,True,True
50,13,126.489,128.482,121.138,True,True
51,24,76.718,82.433,74.934,True,True
53,43,79.33,89.129,90.079,True,True
54,83,65.373,70.966,69.356,True,True
55,23,77.975,90.024,88.518,True,True
56,17,90.657,98.557,90.032,True,True
58,45,86.802,97.429,96.403,True,True
59,36,72.373,82.981,81.608,True,True
60,10,93.129,94.955,95.202,True,True
61,29,60.169,97.449,93.683,True,True
63,34,119.802,123.252,125.202,True,True
65,15,102.239,103.55,103.372,True,True
66,26,74.998,75.983,76.446,True,True
68,40,80.887,85.856,84.212,True,True
69,10,72.781,75.913,72.669,True,True
70,28,95.355,97.149,92.883,True,True
71,80,16.485,108.76,106.86,True,True
72,35,93.878,116.456,110.695,True,True
73,40,89.321,93.655,91.545,True,True
74,52,73.363,82.465,81.93,True,True
75,40,80.924,92.2,87.849,True,True
78,65,28.758,30.514,29.723,True,True
79,16,33.084,34.858,34.368,True,True
80,11,117.977,119.953,117.433,True,True
81,20,110.617,117.862,117.271,True,True
82,24,87.07,91.051,91.113,True,True
83,28,72.622,76.122,74.549,True,True
84,43,73.67,78.052,75.67,True,True
85,12,98.636,110.235,99.364,True,True
86,19,103.985,110.898,111.284,True,True
87,41,104.139,105.478,105.82,True,True
88,52,99.423,107.832,106.976,True,True
90,86,84.029,93.307,91.471,True,True
91,22,107.08,111.955,106.022,True,True
92,76,69.62,90.875,89.384,True,True
97,67,81.403,94.577,89.147,True,True
98,34,109.327,115.123,107.211,True,True
99,32,78.187,80.227,82.151,True,True
100,24,86.774,89.831,79.696,True,True
101,39,80.975,89.005,84.921,True,True
102,20,107.633,108.62,109.734,True,True
103,12,57.855,78.138,65.687,True,True
105,26,87.57,92.799,90.752,True,True
106,16,75.966,76.903,74.401,True,True
107,14,101.376,103.506,102.528,True,True
108,25,110.163,112.089,109.26,True,True
109,35,89.015,90.856,88.683,True,True
110,86,76.476,97.014,95.154,True,True
111,16,105.157,107.429,104.161,True,True
113,65,73.716,84.116,79.905,True,True
119,13,118.414,126.968,135.95,True,True
121,42,81.725,88.307,87.214,True,True
122,60,79.434,87.146,85.594,True,True
123,17,88.757,92.149,88.498,True,True
126,46,44.639,111.348,109.571,True,True
127,35,92.707,104.539,100.147,True,True
131,87,78.665,99.256,96.555,True,True
134,63,67.663,97.55,93.792,True,True
137,35,96.103,106.194,104.243,True,True
138,45,84.082,100.335,94.658,True,True
141,11,107.211,109.846,91.707,True,True
143,25,76.17,77.5,74.523,True,True
144,54,51.795,84.869,82.039,True,True
146,15,76.409,81.51,82.628,True,True
150,30,76.887,79.901,78.058,True,True
151,18,92.415,102.008,91.89,True,True
152,40,85.431,96.814,92.239,True,True
153,29,98.124,101.645,98.511,True,True
156,18,79.425,82.018,81.871,True,True
158,27,109.391,114.623,113.951,True,True
159,18,88.702,101.146,97.031,True,True
163,27,92.031,95.808,97.148,True,True
164,34,92.121,104.088,103.969,True,True
165,40,39.411,52.922,50.542,True,True
167,17,97.442,102.719,91.739,True,True
169,48,72.634,80.627,76.963,True,True
170,13,142.809,145.717,141.222,True,True
171,36,93.53,98.019,95.886,True,True
174,85,79.55,84.951,84.508,True,True
175,39,71.821,92.897,88.81,True,True
176,10,88.164,91.133,88.991,True,True
177,13,112.24,116.757,103.487,True,True
178,38,78.273,93.943,90.043,True,True
181,34,95.574,104.867,104.239,True,True
185,91,54.611,59.096,55.871,True,True
187,10,116.898,117.932,119.001,True,True
188,31,90.629,94.478,93.963,True,True
189,14,82.729,99.589,85.931,True,True
192,46,76.264,80.61,75.239,True,True
193,39,90.941,108.2,108.791,True,True
194,50,79.218,82.869,80.721,True,True
195,11,74.224,84.293,73.949,True,True
199,72,91.161,96.105,95.08,True,True
200,27,108.021,116.433,113.596,True,True
206,27,92.994,95.737,92.986,True,True
207,11,122.762,128.745,140.631,True,True
